ProductID,ProductName,Description,Price,DiscountPrice,Quantity,CategoryID,Status,ImageURL,Rating
1,HP EliteBook 840 G8,Core i7 16GB RAM,125000.00,115000.00,10,1,Active,hp_g8.jpg,4.5
2,iPhone 15 Pro,256GB Titanium,350000.00,345000.00,5,2,Active,iphone15.jpg,4.8
3,Sony WH-1000XM5,Wireless Noise Canceling,85000.00,80000.00,15,3,Active,sony_xm5.jpg,4.7
4,Dell XPS 15,Core i9 32GB RAM 4K Display,220000.00,210000.00,8,1,Active,dell_xps.jpg,4.6
5,Samsung Galaxy S24,256GB Phantom Black,180000.00,175000.00,12,2,Active,galaxy_s24.jpg,4.5
6,iPad Pro M2,128GB WiFi Space Gray,160000.00,155000.00,7,4,Active,ipad_pro.jpg,4.7
7,JBL Flip 6,Portable Bluetooth Speaker,25000.00,22000.00,30,3,Active,jbl_flip6.jpg,4.3
8,Lenovo ThinkPad X1,Core i7 16GB RAM Business Laptop,175000.00,165000.00,6,1,Active,thinkpad.jpg,4.4
9,OnePlus 12,256GB Silky Black,120000.00,115000.00,10,2,Active,oneplus12.jpg,4.3
10,Canon EOS R50,Mirrorless Camera 24MP,195000.00,185000.00,4,6,Active,canon_r50.jpg,4.6
11,PS5 Controller,DualSense Wireless White,18000.00,16000.00,25,7,Active,ps5_ctrl.jpg,4.8
12,Samsung Tab S9,256GB WiFi,145000.00,138000.00,9,4,Active,tab_s9.jpg,4.5
13,Apple AirPods Pro 2,Active Noise Cancellation,65000.00,60000.00,20,3,Active,airpods.jpg,4.7
14,USB-C Hub 7-in-1,HDMI USB3.0 SD Card,8500.00,7500.00,50,5,Active,usb_hub.jpg,4.2
15,Logitech MX Master 3,Wireless Ergonomic Mouse,15000.00,13500.00,35,5,Active,mx_master.jpg,4.6